DA,G,N,E,KT002001EH1R3,S,Ch,KR185001E,KR167001E,KR173001E,KR170001E,KR176001E,KR107001E,KR168001E,KR174001E,KR171001E,KR075001E,KR110001E,KR169001E,KR175001E,KR178001E,KR078001E,KR113001E,household_id,HR,Tip
42,2,1,14,1,1,2,3,2,40,1,1,4,1,42,1,1,5,2,50,1,1,7,1111024100,4,4
64,2,1,16,3,1,2,12,2,66,1,1,7,2,55,1,1,7,1,70,1,7,7,1111024400,2,3
68,1,1,15,3,1,2,8,1,65,1,1,7,1,70,1,7,7,2,60,1,1,7,1111024400,2,3
27,1,1,14,1,2,0,12,1,27,1,1,6,2,28,1,1,7,1,26,1,1,6,1911024400,3,2
27,1,1,12,1,2,0,3,1,27,1,1,7,1,27,1,1,7,1,27,1,15,5,1911024400,3,2
51,2,1,15,1,1,2,3,1,54,1,2,7,2,51,1,1,7,2,54,1,1,7,1111025300,4,4
47,1,3,5,2,1,3,3,1,51,1,3,7,2,46,5,1,7,1,74,1,7,4,1111025400,3,4
63,2,1,5,3,1,2,12,2,64,1,1,7,1,60,1,1,7,2,60,1,1,2,1111025600,2,3
71,1,1,5,3,1,2,4,1,72,1,1,7,1,70,1,7,7,1,72,1,7,7,1111025600,2,3
36,1,1,5,1,1,1,5,1,35,1,1,5,1,33,1,1,7,1,38,1,1,7,1411025600,3,4
75,1,1,3,3,1,2,6,1,73,1,1,4,2,93,1,7,3,1,65,1,7,5,1111025900,2,3
48,1,1,8,1,3,1,5,2,50,1,1,5,1,49,1,1,7,1,49,1,1,7,1111026000,2,6
27,1,1,4,2,2,0,8,1,24,1,1,4,1,28,1,15,4,2,34,1,15,5,1111026300,3,4
63,2,2,15,3,2,0,3,1,47,1,1,6,2,64,1,7,7,2,64,2,7,7,1111026400,1,1
51,1,3,14,1,1,2,20,1,47,1,1,5,1,36,1,1,5,1,35,1,1,5,1111026500,3,3
44,1,2,14,1,1,3,4,2,37,1,2,7,1,44,1,1,6,2,50,1,1,6,1111026800,5,4
43,2,1,14,1,1,3,3,1,42,1,1,7,1,48,1,1,7,2,41,1,1,7,1111026800,5,4
33,2,1,15,1,2,0,10,2,29,1,1,7,2,32,1,11,7,1,32,1,1,7,1411027300,2,3
44,1,1,16,1,1,2,10,1,43,1,1,7,1,47,1,1,7,2,38,1,1,7,1111027600,4,4
42,2,1,14,1,1,2,3,2,41,1,1,7,2,47,1,1,7,2,41,2,1,7,1111027600,4,4
40,2,2,15,1,1,1,8,2,38,1,2,7,2,38,3,6,7,1,45,2,1,7,1111027700,3,4
58,1,2,12,1,1,4,12,1,40,1,1,4,1,56,1,1,4,1,44,2,1,7,1111027700,3,4
37,2,1,8,1,1,1,3,2,36,1,1,6,1,37,1,1,7,1,40,1,1,5,1111027900,3,4
42,1,1,6,1,1,0,4,1,42,1,1,6,1,42,1,1,5,1,42,1,1,7,1111028200,2,3
34,2,3,15,1,1,0,3,2,43,1,3,7,2,30,1,15,7,1,31,3,1,6,1111028200,2,3
45,2,1,8,1,1,0,4,2,45,1,1,5,2,46,1,1,6,2,45,1,1,6,1111028600,2,3
60,1,3,15,2,1,2,5,1,63,1,3,5,1,62,1,1,5,1,48,1,1,5,1111028700,2,3
37,2,3,5,1,2,0,4,2,33,1,1,7,2,37,1,15,4,2,36,1,2,7,1611028700,2,3
78,2,2,4,3,5,1,10,2,77,1,1,4,1,80,1,7,4,2,78,2,11,3,1111029100,1,1
51,2,1,14,1,1,3,8,2,50,1,1,7,2,49,1,1,6,2,49,1,1,7,1111029600,5,4
18,2,1,9,3,2,0,4,2,18,1,1,4,2,18,1,15,4,2,17,1,8,4,1111029600,5,4
51,2,1,14,1,5,1,5,2,57,3,1,7,1,47,1,1,4,2,55,1,1,7,1111029800,3,4
20,2,1,13,3,2,0,10,2,20,1,1,5,2,20,1,8,5,1,22,1,8,5,1111029800,3,4
17,2,1,4,3,2,0,3,2,17,1,1,4,1,17,1,15,3,2,17,1,8,3,1111030200,3,4
23,1,1,13,3,2,0,5,1,27,1,1,7,1,23,1,2,5,1,24,1,1,5,1111030300,1,1
49,2,2,7,1,3,2,3,2,49,5,2,6,2,43,1,15,6,2,44,1,15,3,1211030900,3,5
34,2,3,6,1,2,0,7,1,38,1,1,5,2,34,1,15,5,1,38,2,1,5,1111031200,3,3
45,1,1,4,1,1,2,5,1,46,1,1,6,1,42,1,1,4,1,42,1,1,4,1111031300,4,4
56,1,2,4,2,4,1,30,1,65,1,2,6,2,37,1,8,5,1,45,1,1,6,1111031500,2,3
50,2,1,5,3,1,1,10,2,49,1,1,7,2,40,1,6,2,2,65,1,7,3,1111031600,3,4
53,1,1,7,1,1,1,3,1,47,1,1,5,1,48,1,1,6,1,48,1,1,6,1111031600,3,4
50,1,1,15,1,1,2,5,1,57,5,3,7,1,50,5,1,7,2,52,1,1,7,1111031700,4,4
50,2,1,15,1,1,2,3,2,51,5,1,7,2,56,1,1,6,2,64,2,1,6,1111031700,4,4
45,2,1,4,2,2,2,7,2,39,1,1,7,1,45,1,1,7,2,42,2,2,7,1111032300,4,4
34,1,1,15,2,2,0,4,1,34,1,1,5,2,25,1,1,5,1,28,1,1,7,1111032600,4,4
47,2,1,14,1,1,2,10,2,56,1,1,7,2,50,1,1,7,2,48,2,6,7,1111032700,4,4
17,2,1,9,3,2,0,4,2,15,1,1,3,1,19,1,8,5,2,17,1,8,4,1111032700,4,4
20,2,1,9,3,2,0,12,2,18,1,1,5,2,21,1,8,6,2,20,1,8,6,1111032900,4,4
43,2,2,6,1,1,2,10,2,36,1,2,4,1,43,1,1,6,2,40,1,1,5,1111033100,4,4
46,1,1,5,1,1,2,4,2,42,1,1,7,1,43,1,1,6,2,42,1,1,4,1111033100,4,4
20,1,1,11,1,2,0,6,1,20,1,1,6,1,21,1,1,6,1,23,1,2,4,1111033100,4,4
41,2,3,8,1,5,2,20,2,33,1,1,7,1,39,1,1,4,2,36,1,1,4,1111033300,3,5
19,2,1,13,3,2,0,10,2,18,1,1,5,2,18,1,8,5,2,18,1,1,5,1111033300,3,5
54,1,1,15,1,1,1,3,2,51,5,2,4,1,55,1,1,4,2,50,1,1,6,1111033400,3,4
51,2,2,4,1,1,1,4,2,48,1,1,5,2,51,1,9,4,1,53,2,1,5,1111033400,3,4
18,1,1,9,3,2,0,8,1,18,1,1,5,1,18,1,8,5,1,18,1,8,5,1111033400,3,4
49,2,1,4,1,1,2,8,2,52,1,1,4,2,58,1,1,4,2,64,2,1,4,1111035400,4,4
23,1,1,12,3,2,0,5,1,22,1,1,5,2,22,1,1,5,1,22,1,8,6,1111035400,4,4
20,1,1,13,3,2,0,5,1,20,1,1,6,1,20,1,8,6,1,20,1,8,5,1111035400,4,4
31,2,1,16,1,2,0,4,2,31,1,1,7,2,31,1,1,7,2,32,1,1,7,1611036110,2,3
36,1,1,16,1,2,0,4,1,36,1,1,6,1,29,1,1,7,1,32,1,1,7,1611036110,2,3
66,2,1,15,3,1,3,4,2,62,1,3,6,2,67,1,6,7,2,53,1,1,7,1111036500,2,3
70,1,2,14,3,1,3,4,1,66,1,1,7,1,67,1,7,5,1,67,1,7,7,1111036500,2,3
58,2,1,5,1,1,2,3,2,57,1,2,5,2,65,1,7,4,2,63,1,7,6,1111036800,3,4
28,1,1,14,1,2,0,3,1,28,1,1,7,2,26,1,1,7,1,27,1,1,7,1111036800,3,4
54,2,3,15,2,1,1,3,2,52,1,1,7,1,58,1,1,7,2,53,1,6,2,1111037000,3,4
57,2,1,4,1,1,2,8,1,56,3,1,7,1,58,1,1,6,2,59,1,7,3,1111037300,4,4
25,2,1,14,1,2,0,3,2,22,1,1,7,2,23,1,1,7,1,25,1,1,7,1111037300,4,4
35,1,1,7,1,1,1,5,1,35,1,1,6,1,37,1,1,6,1,37,1,1,6,1211037800,3,4
34,2,1,12,1,1,1,5,2,34,1,1,5,2,32,1,1,7,2,33,1,1,5,1211037800,3,4
49,2,1,16,1,2,0,4,2,40,1,2,5,2,49,1,1,7,2,44,1,15,4,1111037900,2,3
40,2,2,8,2,2,0,4,2,49,1,1,7,1,44,3,1,7,2,38,1,1,7,1111037900,2,3
51,2,1,15,1,1,3,5,2,51,1,1,6,2,51,1,1,7,2,36,1,1,7,1111038000,3,4
51,2,1,5,1,1,3,7,2,51,1,1,7,2,50,1,1,7,2,48,1,6,3,1111038000,3,4
29,1,1,11,1,2,0,4,2,26,1,1,7,1,26,1,1,6,2,28,1,1,6,2011038000,2,3
60,2,2,15,1,1,0,11,2,60,1,1,7,2,56,1,1,7,1,58,2,1,4,1111038100,2,3
