Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_HOMES
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,288,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,82,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,23,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,11,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,123,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,256,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,89,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,23,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,11,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,168,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,272,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,98,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,33,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,10,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,210,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,383,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,96,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,26,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,18,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,154,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,306,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,90,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,30,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,18,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,150,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,270,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,73,3
