Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_DONES
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,25,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,32,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,277,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,450,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,198,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,69,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,37,5
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,215,1
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,282,2
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,113,3
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,35,4
2022-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,29,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,234,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,498,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,124,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,25,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,9,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,139,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,281,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,73,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,18,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,7,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,153,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,275,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,59,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,10,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,1,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,143,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,335,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,81,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,16,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,9,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,95,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,269,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,98,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,27,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,13,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,109,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,322,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,105,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,38,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,7,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,216,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,383,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,98,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,29,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,7,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,146,1
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,308,2
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,103,3
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,34,4
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,7,5
2022-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,137,1
