Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_65_99
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,80,3
2023-01-01,2,Eixample,5,el Fort Pienc,20,2001,350,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2001,164,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2001,57,3
2023-01-01,2,Eixample,5,el Fort Pienc,20,2001,2,4
2023-01-01,2,Eixample,5,el Fort Pienc,20,2002,433,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2002,205,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2002,103,3
2023-01-01,2,Eixample,5,el Fort Pienc,20,2002,3,4
2023-01-01,2,Eixample,5,el Fort Pienc,20,2003,259,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2003,106,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2003,64,3
2023-01-01,2,Eixample,5,el Fort Pienc,20,2003,1,5
2023-01-01,2,Eixample,5,el Fort Pienc,20,2004,347,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2004,152,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2004,75,3
2023-01-01,2,Eixample,5,el Fort Pienc,20,2005,476,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2005,225,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2005,146,3
2023-01-01,2,Eixample,5,el Fort Pienc,20,2005,2,4
2023-01-01,2,Eixample,5,el Fort Pienc,20,2006,394,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2006,193,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2006,96,3
2023-01-01,2,Eixample,5,el Fort Pienc,20,2006,2,4
2023-01-01,2,Eixample,5,el Fort Pienc,20,2007,312,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2007,121,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2007,65,3
2023-01-01,2,Eixample,5,el Fort Pienc,20,2007,1,5
2023-01-01,2,Eixample,5,el Fort Pienc,20,2008,443,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2008,180,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2008,109,3
2023-01-01,2,Eixample,5,el Fort Pienc,20,2008,3,4
2023-01-01,2,Eixample,5,el Fort Pienc,20,2009,448,1
2023-01-01,2,Eixample,5,el Fort Pienc,20,2009,160,2
2023-01-01,2,Eixample,5,el Fort Pienc,20,2009,107,3
2023-01-01,2,Eixample,5,el Fort Pienc,20,2009,1,4
2023-01-01,2,Eixample,5,el Fort Pienc,21,2010,273,1
2023-01-01,2,Eixample,5,el Fort Pienc,21,2010,116,2
2023-01-01,2,Eixample,5,el Fort Pienc,21,2010,78,3
2023-01-01,2,Eixample,5,el Fort Pienc,21,2010,2,4
2023-01-01,2,Eixample,5,el Fort Pienc,21,2011,266,1
2023-01-01,2,Eixample,5,el Fort Pienc,21,2011,126,2
2023-01-01,2,Eixample,5,el Fort Pienc,21,2011,69,3
2023-01-01,2,Eixample,5,el Fort Pienc,21,2011,4,4
2023-01-01,2,Eixample,5,el Fort Pienc,21,2012,355,1
2023-01-01,2,Eixample,5,el Fort Pienc,21,2012,164,2
2023-01-01,2,Eixample,5,el Fort Pienc,21,2012,91,3
2023-01-01,2,Eixample,5,el Fort Pienc,21,2012,6,4
2023-01-01,2,Eixample,5,el Fort Pienc,21,2013,360,1
2023-01-01,2,Eixample,5,el Fort Pienc,21,2013,106,2
2023-01-01,2,Eixample,5,el Fort Pienc,21,2013,35,3
2023-01-01,2,Eixample,5,el Fort Pienc,21,2013,3,4
2023-01-01,2,Eixample,5,el Fort Pienc,22,2014,426,1
2023-01-01,2,Eixample,5,el Fort Pienc,22,2014,110,2
2023-01-01,2,Eixample,5,el Fort Pienc,22,2014,43,3
2023-01-01,2,Eixample,5,el Fort Pienc,22,2015,408,1
2023-01-01,2,Eixample,5,el Fort Pienc,22,2015,163,2
2023-01-01,2,Eixample,5,el Fort Pienc,22,2015,76,3
2023-01-01,2,Eixample,5,el Fort Pienc,22,2016,494,1
2023-01-01,2,Eixample,5,el Fort Pienc,22,2016,180,2
2023-01-01,2,Eixample,5,el Fort Pienc,22,2016,114,3
2023-01-01,2,Eixample,5,el Fort Pienc,22,2016,3,4
2023-01-01,2,Eixample,5,el Fort Pienc,22,2017,506,1
2023-01-01,2,Eixample,5,el Fort Pienc,22,2017,185,2
2023-01-01,2,Eixample,5,el Fort Pienc,22,2017,89,3
2023-01-01,2,Eixample,5,el Fort Pienc,22,2017,3,4
2023-01-01,2,Eixample,5,el Fort Pienc,22,2017,1,5
2023-01-01,2,Eixample,5,el Fort Pienc,22,2018,423,1
2023-01-01,2,Eixample,5,el Fort Pienc,22,2018,196,2
2023-01-01,2,Eixample,5,el Fort Pienc,22,2018,138,3
2023-01-01,2,Eixample,5,el Fort Pienc,22,2018,1,4
2023-01-01,2,Eixample,5,el Fort Pienc,22,2019,513,1
2023-01-01,2,Eixample,5,el Fort Pienc,22,2019,211,2
2023-01-01,2,Eixample,5,el Fort Pienc,22,2019,113,3
2023-01-01,2,Eixample,5,el Fort Pienc,22,2019,2,4
2023-01-01,2,Eixample,5,el Fort Pienc,22,2020,521,1
2023-01-01,2,Eixample,5,el Fort Pienc,22,2020,139,2
2023-01-01,2,Eixample,5,el Fort Pienc,22,2020,42,3
2023-01-01,2,Eixample,5,el Fort Pienc,22,2020,2,4
2023-01-01,2,Eixample,6,la Sagrada Família,23,2021,448,1
2023-01-01,2,Eixample,6,la Sagrada Família,23,2021,155,2
2023-01-01,2,Eixample,6,la Sagrada Família,23,2021,84,3
2023-01-01,2,Eixample,6,la Sagrada Família,23,2021,2,4
2023-01-01,2,Eixample,6,la Sagrada Família,23,2022,323,1
2023-01-01,2,Eixample,6,la Sagrada Família,23,2022,124,2
2023-01-01,2,Eixample,6,la Sagrada Família,23,2022,71,3
2023-01-01,2,Eixample,6,la Sagrada Família,23,2022,1,4
2023-01-01,2,Eixample,6,la Sagrada Família,23,2023,275,1
2023-01-01,2,Eixample,6,la Sagrada Família,23,2023,140,2
2023-01-01,2,Eixample,6,la Sagrada Família,23,2023,67,3
2023-01-01,2,Eixample,6,la Sagrada Família,23,2024,338,1
2023-01-01,2,Eixample,6,la Sagrada Família,23,2024,111,2
2023-01-01,2,Eixample,6,la Sagrada Família,23,2024,49,3
2023-01-01,2,Eixample,6,la Sagrada Família,23,2024,2,4
2023-01-01,2,Eixample,6,la Sagrada Família,24,2025,318,1
2023-01-01,2,Eixample,6,la Sagrada Família,24,2025,130,2
2023-01-01,2,Eixample,6,la Sagrada Família,24,2025,66,3
2023-01-01,2,Eixample,6,la Sagrada Família,24,2026,520,1
2023-01-01,2,Eixample,6,la Sagrada Família,24,2026,248,2
2023-01-01,2,Eixample,6,la Sagrada Família,24,2026,102,3
2023-01-01,2,Eixample,6,la Sagrada Família,24,2026,3,4
2023-01-01,2,Eixample,6,la Sagrada Família,24,2026,2,5
2023-01-01,2,Eixample,6,la Sagrada Família,24,2027,508,1
2023-01-01,2,Eixample,6,la Sagrada Família,24,2027,223,2
2023-01-01,2,Eixample,6,la Sagrada Família,24,2027,127,3
2023-01-01,2,Eixample,6,la Sagrada Família,24,2027,2,4
2023-01-01,2,Eixample,6,la Sagrada Família,24,2028,530,1
2023-01-01,2,Eixample,6,la Sagrada Família,24,2028,205,2
2023-01-01,2,Eixample,6,la Sagrada Família,24,2028,131,3
2023-01-01,2,Eixample,6,la Sagrada Família,24,2028,2,4
2023-01-01,2,Eixample,6,la Sagrada Família,24,2029,302,1
2023-01-01,2,Eixample,6,la Sagrada Família,24,2029,141,2
2023-01-01,2,Eixample,6,la Sagrada Família,24,2029,73,3
2023-01-01,2,Eixample,6,la Sagrada Família,24,2029,1,4
2023-01-01,2,Eixample,6,la Sagrada Família,24,2030,338,1
2023-01-01,2,Eixample,6,la Sagrada Família,24,2030,147,2
2023-01-01,2,Eixample,6,la Sagrada Família,24,2030,50,3
2023-01-01,2,Eixample,6,la Sagrada Família,24,2031,218,1
2023-01-01,2,Eixample,6,la Sagrada Família,24,2031,132,2
2023-01-01,2,Eixample,6,la Sagrada Família,24,2031,76,3
2023-01-01,2,Eixample,6,la Sagrada Família,24,2031,3,4
2023-01-01,2,Eixample,6,la Sagrada Família,24,2032,294,1
2023-01-01,2,Eixample,6,la Sagrada Família,24,2032,125,2
2023-01-01,2,Eixample,6,la Sagrada Família,24,2032,62,3
2023-01-01,2,Eixample,6,la Sagrada Família,24,2032,3,5
2023-01-01,2,Eixample,6,la Sagrada Família,25,2033,334,1
2023-01-01,2,Eixample,6,la Sagrada Família,25,2033,120,2
2023-01-01,2,Eixample,6,la Sagrada Família,25,2033,65,3
2023-01-01,2,Eixample,6,la Sagrada Família,25,2033,3,4
