﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Districte;Població;Cens;Participació 13:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids;PSC Vots;ERC Vots;JxCat Vots;VOX Vots;ECP-PEC Vots;CUP-G Vots;Cs Vots;PP Vots;PDeCAT Vots;RECORTES CERO-GV-M Vots;MPIC Vots;FNC Vots;PNC Vots;PCTC Vots;IZQP Vots;SOM TERRES DE L'EBRE Vots;PUM+J Vots;UEP Vots;EB Vots;UNIDOS SI-DEf-PDSJE-SOMOS ESPAÑA Vots;ALIANZA C V Vots;SCAT Vots;M.C.R. Vots
8;Barcelona;1;Barcelona;11;Baix Llobregat;08073;Cornellà de Llobregat;3;;10424;2163;4951;5750;4674;86;49;5615;5664;2221;896;298;500;707;196;493;203;30;34;7;1;6;16;7;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08073;Cornellà de Llobregat;4;;16120;3756;7096;8049;8071;83;47;7919;7966;3388;1030;300;778;912;261;691;391;56;59;12;2;7;18;14;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08073;Cornellà de Llobregat;5;;6473;1306;2342;2617;3856;32;20;2565;2585;1184;254;82;316;226;53;231;168;5;28;2;2;2;8;4;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08073;Cornellà de Llobregat;6;;9368;2202;3570;3931;5437;57;27;3847;3874;1987;311;91;449;331;65;337;216;16;35;2;0;2;1;4;;;;;;;;
17;Girona;3;Girona;28;Pla de l'Estany;17056;Cornellà del Terri;1;;1782;539;1048;1150;632;23;4;1123;1127;74;237;529;25;28;132;12;23;41;2;5;5;1;2;0;;4;2;;;1;;
43;Tarragona;6;Camp de Tarragona;29;Priorat;43049;Cornudella de Montsant;1;;737;251;441;504;233;8;2;494;496;39;174;143;9;20;61;8;5;12;0;11;7;0;0;;5;0;;;0;;;0
43;Tarragona;6;Camp de Tarragona;36;Tarragonès;43050;Creixell;1;;2779;615;1043;1243;1536;16;10;1217;1227;302;278;198;166;76;41;65;51;25;7;1;1;3;2;;0;1;;;0;;;0
17;Girona;3;Girona;28;Pla de l'Estany;17058;Crespià;1;;185;75;113;124;61;1;1;122;123;5;20;54;0;12;21;3;3;3;0;0;0;1;0;0;;0;0;;;0;;
17;Girona;3;Girona;10;Baix Empordà;17901;Cruïlles, Monells i Sant Sadurní;1;;1024;351;606;664;360;12;13;639;652;67;170;212;16;26;93;15;4;26;2;3;2;2;0;0;;1;0;;;0;;
8;Barcelona;8;Penedès;17;Garraf;08074;Cubelles;1;;11414;2779;4832;5499;5915;66;42;5391;5433;1481;1219;691;636;382;236;419;185;81;30;8;8;5;6;4;;;;;;;;
25;Lleida;4;Lleida;23;Noguera;25079;Cubells;1;;275;92;156;185;90;8;2;175;177;5;65;73;5;0;4;2;5;15;0;0;0;0;1;0;;0;;0;;;0;
43;Tarragona;8;Penedès;12;Baix Penedès;43051;Cunit;1;;9595;2073;3631;4253;5342;125;31;4097;4128;1297;770;368;559;309;115;368;191;62;19;3;1;2;11;;3;11;;;7;;;1
17;Girona;3;Girona;2;Alt Empordà;17060;Darnius;1;;405;115;213;245;160;0;1;244;245;23;59;77;26;11;21;8;10;5;0;2;0;0;0;0;;2;0;;;0;;
17;Girona;5;Alt Pirineu i territori d'Aran;15;Cerdanya;17061;Das;1;;171;49;88;121;50;5;2;114;116;8;33;48;4;1;5;5;2;7;0;1;0;0;0;0;;0;0;;;0;;
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43901;Deltebre;1;;8813;1849;3208;3681;5132;413;23;3245;3268;398;1363;562;188;106;205;40;72;230;2;7;8;2;2;;55;3;;;2;;;0
8;Barcelona;1;Barcelona;21;Maresme;08075;Dosrius;1;;4230;949;1810;2145;2085;29;26;2090;2116;399;558;464;206;111;133;104;64;33;6;4;3;2;1;2;;;;;;;;
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43053;Duesaigües;1;;179;53;112;125;54;1;0;124;124;15;39;33;1;7;13;2;2;8;0;2;2;0;0;;0;0;;;0;;;0
17;Girona;3;Girona;2;Alt Empordà;17062;Escala, l';1;;6063;1561;2624;3123;2940;47;26;3050;3076;445;665;987;227;142;286;86;77;97;3;2;3;10;3;0;;6;10;;;1;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08076;Esparreguera;1;;8864;1746;4034;4603;4261;72;30;4501;4531;1150;1207;646;274;308;352;277;132;106;18;9;8;4;5;5;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08076;Esparreguera;2;;7832;1838;3236;3624;4208;34;35;3555;3590;986;856;500;333;259;175;231;117;62;14;2;5;3;7;5;;;;;;;;
17;Girona;2;Catalunya Central;24;Osona;17063;Espinelves;1;;182;78;132;153;29;2;0;151;151;5;51;60;0;1;26;1;2;4;0;0;0;0;0;0;;0;1;;;0;;
25;Lleida;4;Lleida;18;Garrigues;25081;Espluga Calba, l';1;;270;69;148;173;97;6;6;161;167;19;57;46;2;2;22;1;5;7;0;0;0;0;0;0;;0;;0;;;0;
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43054;Espluga de Francolí, l';1;;1640;360;707;902;738;16;6;880;886;72;297;282;22;18;120;8;9;36;0;0;7;4;1;;0;4;;;0;;;0
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43054;Espluga de Francolí, l';2;;1159;213;495;620;539;7;3;610;613;64;217;196;6;9;68;12;4;18;1;0;5;6;1;;1;2;;;0;;;0
8;Barcelona;1;Barcelona;11;Baix Llobregat;08077;Esplugues de Llobregat;1;;6346;1535;3200;3941;2405;47;30;3864;3894;1023;773;580;285;308;178;315;219;133;13;2;6;23;3;3;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08077;Esplugues de Llobregat;10;;9917;2492;4228;4792;5125;59;31;4702;4733;2240;430;138;544;389;108;437;338;12;38;1;3;3;14;7;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08077;Esplugues de Llobregat;2;;7165;1717;3298;3990;3175;37;34;3919;3953;1323;768;381;314;352;170;304;196;59;28;6;3;3;8;4;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08077;Esplugues de Llobregat;3;;2737;600;1374;1578;1159;18;9;1551;1560;529;287;138;124;175;65;106;88;22;8;3;0;0;2;4;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08077;Esplugues de Llobregat;4;;565;127;340;396;169;2;1;393;394;74;57;91;42;15;12;35;27;30;3;1;1;5;0;0;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08077;Esplugues de Llobregat;5;;516;95;215;255;261;0;1;254;255;29;31;53;46;6;4;33;39;12;1;0;0;0;0;0;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08077;Esplugues de Llobregat;6;;545;130;267;311;234;2;0;309;309;55;40;73;40;9;17;33;22;17;1;0;0;2;0;0;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08077;Esplugues de Llobregat;7;;787;200;419;558;229;2;2;554;556;113;54;113;77;23;12;57;58;41;2;1;0;1;0;2;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08077;Esplugues de Llobregat;8;;3144;766;1537;1817;1327;13;15;1789;1804;564;303;213;140;157;76;155;145;15;8;3;0;2;4;4;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08077;Esplugues de Llobregat;9;;2674;586;1263;1521;1153;17;14;1490;1504;578;246;131;146;123;35;128;71;20;5;1;0;0;3;3;;;;;;;;
17;Girona;3;Girona;2;Alt Empordà;17064;Espolla;1;;323;124;215;234;89;6;1;227;228;40;59;61;10;9;28;1;3;12;1;1;0;1;0;0;;0;1;;;0;;
17;Girona;3;Girona;28;Pla de l'Estany;17065;Esponellà;1;;327;122;225;231;96;4;2;225;227;6;53;107;2;8;38;0;0;7;0;3;0;1;0;0;;0;0;;;0;;
25;Lleida;5;Alt Pirineu i territori d'Aran;26;Pallars Sobirà;25082;Espot;1;;301;70;138;197;104;11;7;179;186;19;71;52;3;3;6;2;4;15;0;1;0;0;0;2;;1;;0;;;0;
8;Barcelona;2;Catalunya Central;14;Berguedà;08078;Espunyola, l';1;;220;50;118;140;80;3;5;132;137;1;31;66;0;3;18;1;3;8;0;0;1;0;0;0;;;;;;;;
8;Barcelona;2;Catalunya Central;24;Osona;08254;Esquirol, l';1;;1762;629;1083;1288;474;11;14;1263;1277;38;351;547;11;43;209;1;2;43;2;3;7;3;2;1;;;;;;;;
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25088;Estamariu;1;;97;32;50;61;36;0;1;60;61;3;11;34;0;1;3;1;0;7;0;0;0;0;0;0;;0;;0;;;0;
8;Barcelona;2;Catalunya Central;42;Moianès;08079;Estany, l';1;;338;141;232;249;89;5;5;239;244;16;86;81;3;6;27;3;1;15;1;0;0;0;0;0;;;;;;;;
25;Lleida;4;Lleida;32;Segarra;25085;Estaràs;1;;143;51;87;100;43;0;0;100;100;7;22;43;7;3;6;1;4;5;2;0;0;0;0;0;;0;;0;;;0;
25;Lleida;5;Alt Pirineu i territori d'Aran;26;Pallars Sobirà;25086;Esterri d'Àneu;1;;554;125;374;391;163;14;6;371;377;30;105;144;1;13;50;5;0;17;0;1;0;0;2;0;;1;;1;;;1;
25;Lleida;5;Alt Pirineu i territori d'Aran;26;Pallars Sobirà;25087;Esterri de Cardós;1;;53;18;25;39;14;0;1;38;39;5;5;21;0;1;5;0;0;1;0;0;0;0;0;0;;0;;0;;;0;
43;Tarragona;6;Camp de Tarragona;29;Priorat;43055;Falset;1;;782;278;459;549;233;15;2;532;534;63;209;133;12;14;62;10;15;10;0;1;1;0;1;;1;0;;;0;;;0
43;Tarragona;6;Camp de Tarragona;29;Priorat;43055;Falset;2;;1171;371;647;812;359;16;7;789;796;112;243;241;18;21;106;13;5;18;1;3;3;0;0;;3;2;;;0;;;0
17;Girona;3;Girona;2;Alt Empordà;17005;Far d'Empordà, el;1;;464;111;247;277;187;6;4;267;271;30;91;81;10;8;12;6;2;18;1;0;4;0;1;0;;2;1;;;0;;
25;Lleida;5;Alt Pirineu i territori d'Aran;26;Pallars Sobirà;25089;Farrera;1;;91;29;29;58;33;0;0;58;58;3;14;15;0;3;20;0;0;3;0;0;0;0;0;0;;0;;0;;;0;
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43056;Fatarella, la;1;;791;219;444;507;284;17;8;482;490;31;197;113;11;6;69;9;22;21;0;1;0;0;0;;2;0;;;0;;;0
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43057;Febró, la;1;;39;11;22;28;11;0;1;27;28;2;8;12;1;0;2;0;0;0;0;2;0;0;0;;0;0;;;0;;;0
8;Barcelona;1;Barcelona;41;Vallès Oriental;08134;Figaró-Montmany;1;;862;254;456;519;343;9;2;508;510;76;142;132;19;30;61;14;17;11;0;2;0;1;3;0;;;;;;;;
8;Barcelona;2;Catalunya Central;14;Berguedà;08080;Fígols;1;;38;13;21;27;11;0;2;25;27;1;10;5;1;0;4;0;4;0;0;0;0;0;0;0;;;;;;;;
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25908;Fígols i Alinyà;1;;218;64;106;128;90;4;1;123;124;11;32;48;7;4;15;0;1;4;1;0;0;0;0;0;;0;;0;;;0;
43;Tarragona;6;Camp de Tarragona;29;Priorat;43058;Figuera, la;1;;99;46;65;77;22;0;1;76;77;10;25;17;1;3;10;2;2;5;0;0;0;0;0;;1;0;;;0;;;0
17;Girona;3;Girona;2;Alt Empordà;17066;Figueres;1;;7931;1332;2640;3038;4893;51;27;2960;2987;570;490;644;426;115;152;182;140;161;13;3;10;30;1;4;;6;8;;;5;;
17;Girona;3;Girona;2;Alt Empordà;17066;Figueres;2;;3931;870;1652;1857;2074;25;15;1817;1832;324;373;429;187;84;136;76;50;109;4;6;11;5;6;0;;7;7;;;3;;
17;Girona;3;Girona;2;Alt Empordà;17066;Figueres;3;;6459;1272;2396;2880;3579;51;19;2810;2829;506;579;679;333;114;166;141;90;156;8;1;6;9;5;1;;4;10;;;2;;
17;Girona;3;Girona;2;Alt Empordà;17066;Figueres;4;;9008;1742;3584;4279;4729;59;27;4193;4220;761;943;1023;493;175;250;166;123;193;6;10;13;11;13;3;;3;6;;;1;;
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43059;Figuerola del Camp;1;;263;88;150;160;103;0;3;157;160;12;42;67;1;5;19;1;1;8;0;0;1;0;0;;0;0;;;0;;;0
17;Girona;3;Girona;20;Gironès;17067;Flaçà;1;;693;213;458;482;211;4;10;468;478;40;103;186;12;12;80;9;4;11;0;1;5;0;0;0;;1;4;;;0;;
43;Tarragona;7;Terres de l'Ebre;30;Ribera d'Ebre;43060;Flix;1;;1821;540;914;1156;665;22;7;1127;1134;126;392;319;21;47;141;17;30;10;0;7;2;0;1;;10;4;;;0;;;0
43;Tarragona;7;Terres de l'Ebre;30;Ribera d'Ebre;43060;Flix;2;;829;237;418;498;331;12;8;478;486;71;182;106;11;16;59;20;6;5;0;1;0;0;1;;0;0;;;0;;;0
25;Lleida;4;Lleida;18;Garrigues;25092;Floresta, la;1;;126;52;84;96;30;1;2;93;95;5;21;37;3;1;11;2;4;6;0;0;0;1;0;0;;1;;1;;;0;
8;Barcelona;3;Girona;34;Selva;08082;Fogars de la Selva;1;;1210;300;533;587;623;6;8;573;581;132;87;124;79;50;25;37;18;3;4;4;3;2;3;2;;;;;;;;
8;Barcelona;1;Barcelona;41;Vallès Oriental;08081;Fogars de Montclús;1;;354;124;217;244;110;1;3;240;243;10;42;123;4;10;27;2;2;17;3;0;0;0;0;0;;;;;;;;
17;Girona;3;Girona;10;Baix Empordà;17068;Foixà;1;;252;105;155;178;74;6;1;171;172;24;28;81;3;8;14;5;0;6;0;0;0;0;1;0;;0;1;;;0;;
8;Barcelona;2;Catalunya Central;24;Osona;08083;Folgueroles;1;;1712;460;1135;1316;396;15;6;1295;1301;70;264;694;12;26;148;9;9;45;0;7;3;6;2;0;;;;;;;;
25;Lleida;4;Lleida;27;Pla d'Urgell;25093;Fondarella;1;;610;194;352;381;229;17;3;361;364;46;79;134;23;4;21;13;5;20;3;1;4;5;1;0;;1;;0;;;1;
8;Barcelona;2;Catalunya Central;7;Bages;08084;Fonollosa;1;;1197;317;641;743;454;7;8;728;736;79;222;223;32;17;75;15;10;45;1;3;4;2;0;0;;;;;;;;
17;Girona;5;Alt Pirineu i territori d'Aran;15;Cerdanya;17069;Fontanals de Cerdanya;1;;403;131;212;264;139;7;2;255;257;29;39;98;23;7;19;12;9;15;1;1;1;0;0;0;;1;0;;;0;;
17;Girona;3;Girona;10;Baix Empordà;17070;Fontanilles;1;;115;59;76;86;29;0;2;84;86;4;13;56;0;1;4;0;1;4;0;1;0;0;0;0;;0;0;;;0;;
17;Girona;3;Girona;28;Pla de l'Estany;17071;Fontcoberta;1;;1131;397;743;825;306;13;10;802;812;47;246;336;17;19;77;7;6;36;0;4;3;2;1;0;;0;1;;;0;;
8;Barcelona;8;Penedès;3;Alt Penedès;08085;Font-rubí;1;;1012;331;598;644;368;7;2;635;637;55;170;210;21;18;66;9;6;76;1;2;0;1;0;0;;;;;;;;
25;Lleida;4;Lleida;23;Noguera;25094;Foradada;1;;130;47;73;87;43;1;2;84;86;6;16;41;1;0;12;1;5;2;0;0;0;0;0;0;;0;;0;;;0;
17;Girona;3;Girona;10;Baix Empordà;17902;Forallac;1;;1310;461;784;871;439;16;11;844;855;90;181;346;28;21;83;23;11;51;4;1;2;1;0;0;;1;1;;;0;;
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43061;Forès;1;;40;17;21;25;15;0;0;25;25;1;1;8;2;0;0;1;0;10;0;0;1;0;1;;0;0;;;0;;;0
17;Girona;3;Girona;20;Gironès;17073;Fornells de la Selva;1;;1987;614;1287;1466;521;29;9;1428;1437;133;269;627;46;35;150;30;39;65;4;6;7;12;0;0;;2;3;;;0;;
17;Girona;3;Girona;2;Alt Empordà;17074;Fortià;1;;559;179;319;357;202;12;3;342;345;49;83;95;23;13;40;10;8;15;0;1;1;2;2;0;;0;0;;;0;;
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;1;;12423;2418;4909;5847;6576;82;56;5709;5765;1574;1264;893;580;359;286;451;141;80;34;13;10;11;10;3;;;;;;;;
8;Barcelona;1;Barcelona;41;Vallès Oriental;08086;Franqueses del Vallès, les;2;;1828;562;1040;1178;650;17;14;1147;1161;144;322;364;51;51;101;40;16;44;4;6;1;2;1;0;;;;;;;;
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43062;Freginals;1;;264;124;164;181;83;4;5;172;177;34;33;41;10;11;11;7;13;4;0;0;0;0;1;;7;0;;;0;;;0
25;Lleida;4;Lleida;38;Urgell;25096;Fuliola, la;1;;866;191;349;472;394;9;3;460;463;42;157;176;9;2;38;5;13;13;0;1;0;3;0;0;;1;;0;;;0;
25;Lleida;4;Lleida;18;Garrigues;25097;Fulleda;1;;94;32;50;60;34;3;2;55;57;4;33;8;1;0;3;3;3;0;0;0;0;0;0;0;;0;;0;;;0;
8;Barcelona;2;Catalunya Central;7;Bages;08090;Gaià;1;;138;55;90;101;37;3;0;98;98;5;32;40;0;4;7;0;0;10;0;0;0;0;0;0;;;;;;;;
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43063;Galera, la;1;;531;135;236;267;264;8;0;259;259;44;67;29;33;14;22;1;11;30;0;2;0;0;0;;6;0;;;0;;;0
8;Barcelona;1;Barcelona;40;Vallès Occidental;08087;Gallifa;1;;151;57;99;117;34;0;0;117;117;10;18;49;2;9;10;3;2;11;0;1;2;0;0;0;;;;;;;;
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;1;;1203;323;573;715;488;24;5;686;691;70;190;147;33;25;53;14;40;105;1;1;0;0;0;;5;0;;;2;;;0
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43064;Gandesa;2;;849;242;410;530;319;10;2;518;520;47;180;116;13;14;46;10;14;68;0;0;3;1;0;;5;0;;;1;;;0
43;Tarragona;7;Terres de l'Ebre;30;Ribera d'Ebre;43065;Garcia;1;;382;114;231;255;127;10;3;242;245;23;76;92;8;3;24;7;4;3;0;0;1;0;0;;0;0;;;1;;;0
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43066;Garidells, els;1;;164;58;99;108;56;0;2;106;108;13;53;21;4;3;9;0;3;0;0;0;0;0;0;;0;0;;;0;;;0
8;Barcelona;1;Barcelona;41;Vallès Oriental;08088;Garriga, la;1;;5443;1304;2747;3138;2305;54;19;3065;3084;455;768;924;116;168;344;101;58;79;17;13;8;10;4;0;;;;;;;;
8;Barcelona;1;Barcelona;41;Vallès Oriental;08088;Garriga, la;2;;7003;1676;3751;4364;2639;55;50;4259;4309;625;997;1391;179;209;451;130;97;127;17;10;15;4;6;1;;;;;;;;
17;Girona;3;Girona;2;Alt Empordà;17075;Garrigàs;1;;340;92;191;224;116;11;4;209;213;10;54;70;16;0;24;8;2;21;1;1;0;0;0;0;;2;0;;;0;;
17;Girona;3;Girona;10;Baix Empordà;17076;Garrigoles;1;;122;53;78;90;32;2;1;87;88;4;19;27;1;10;19;1;1;2;1;0;0;0;0;0;;2;0;;;0;;
17;Girona;3;Girona;2;Alt Empordà;17077;Garriguella;1;;581;202;301;351;230;5;2;344;346;44;75;121;10;21;35;10;4;19;0;3;0;0;0;0;;1;0;;;1;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08089;Gavà;1;;10309;1852;4590;5401;4908;72;54;5275;5329;1438;1023;727;572;316;164;472;347;149;25;18;3;12;6;3;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08089;Gavà;2;;10921;2171;4533;5174;5747;57;44;5073;5117;1858;943;502;506;386;142;397;231;37;30;12;6;6;10;7;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08089;Gavà;3;;9903;2013;4109;4770;5133;67;52;4651;4703;1698;848;322;517;366;143;440;215;43;32;3;1;6;13;4;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08089;Gavà;4;;2991;680;1263;1449;1542;17;6;1426;1432;561;272;116;161;106;30;100;44;17;3;2;1;1;8;4;;;;;;;;
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25098;Gavet de la Conca;1;;233;54;107;142;91;3;3;136;139;13;42;51;0;1;21;2;1;3;0;2;0;0;0;0;;0;;0;;;0;
8;Barcelona;8;Penedès;3;Alt Penedès;08091;Gelida;1;;3610;779;1568;1987;1623;19;17;1951;1968;445;496;366;138;162;155;85;45;30;8;4;4;6;6;1;;;;;;;;
8;Barcelona;8;Penedès;3;Alt Penedès;08091;Gelida;2;;1917;379;829;1051;866;18;13;1020;1033;211;300;227;35;85;68;42;18;16;7;3;1;2;4;1;;;;;;;;
17;Girona;5;Alt Pirineu i territori d'Aran;15;Cerdanya;17078;Ger;1;;379;115;221;274;105;7;1;266;267;23;59;115;3;7;32;3;6;13;0;5;0;0;0;0;;0;0;;;0;;
25;Lleida;4;Lleida;33;Segrià;25912;Gimenells i el Pla de la Font;1;;835;239;444;536;299;9;8;519;527;98;92;85;26;18;31;16;131;17;0;1;0;0;2;0;;0;;1;;;1;
43;Tarragona;7;Terres de l'Ebre;30;Ribera d'Ebre;43067;Ginestar;1;;534;222;346;388;146;11;5;372;377;31;160;108;7;12;34;1;1;13;0;1;1;0;0;;2;0;;;1;;;0
17;Girona;3;Girona;20;Gironès;17079;Girona;1;;5024;1106;1996;2402;2622;35;22;2345;2367;422;388;640;179;130;335;91;51;49;10;11;9;13;3;3;;6;4;;;1;;
17;Girona;3;Girona;20;Gironès;17079;Girona;2;;24598;5247;12617;15841;8757;224;111;15506;15617;2116;2605;5855;824;585;1536;490;464;649;34;46;60;150;17;6;;29;32;;;8;;
17;Girona;3;Girona;20;Gironès;17079;Girona;3;;22817;4751;10397;12441;10376;166;100;12175;12275;2317;2192;3770;751;543;1326;447;270;292;25;49;32;39;29;7;;28;55;;;3;;
17;Girona;3;Girona;20;Gironès;17079;Girona;4;;1408;274;633;758;650;13;6;739;745;91;106;213;30;43;183;13;16;18;3;7;2;6;1;1;;3;3;;;0;;
17;Girona;3;Girona;20;Gironès;17079;Girona;5;;5130;1433;2707;3106;2024;52;19;3035;3054;421;580;1089;180;139;375;82;51;81;5;1;5;10;2;0;;6;8;;;0;;
17;Girona;3;Girona;20;Gironès;17079;Girona;6;;6763;1403;2903;3330;3433;61;25;3244;3269;826;627;673;316;188;284;169;50;35;12;12;12;9;3;2;;9;14;;;3;;
8;Barcelona;2;Catalunya Central;14;Berguedà;08092;Gironella;1;;1243;250;648;760;483;15;2;743;745;71;177;262;22;17;93;8;6;77;1;2;3;3;1;0;;;;;;;;
8;Barcelona;2;Catalunya Central;14;Berguedà;08092;Gironella;2;;2451;620;1236;1412;1039;23;8;1381;1389;136;385;436;32;31;129;27;30;151;7;8;2;3;4;0;;;;;;;;
8;Barcelona;2;Catalunya Central;14;Berguedà;08093;Gisclareny;1;;25;8;14;21;4;0;1;20;21;0;5;8;0;3;4;0;0;0;0;0;0;0;0;0;;;;;;;;
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43068;Godall;1;;493;112;201;238;255;6;0;232;232;51;70;20;33;11;13;10;18;6;0;0;0;0;0;;0;0;;;0;;;0
25;Lleida;4;Lleida;27;Pla d'Urgell;25099;Golmés;1;;1305;317;600;721;584;7;6;708;714;47;184;297;20;12;47;16;18;48;0;1;4;12;1;0;;0;;1;;;0;
17;Girona;3;Girona;31;Ripollès;17080;Gombrèn;1;;145;37;68;87;58;0;0;87;87;7;23;26;3;1;18;3;3;2;0;0;0;0;0;0;;1;0;;;0;;
25;Lleida;2;Catalunya Central;14;Berguedà;25100;Gósol;1;;187;56;108;131;56;1;1;129;130;14;42;44;2;4;15;2;0;4;0;0;1;0;1;0;;0;;0;;;0;
8;Barcelona;8;Penedès;3;Alt Penedès;08094;Granada, la;1;;1631;350;871;1018;613;14;13;991;1004;137;292;292;37;43;98;22;14;45;5;2;1;0;2;1;;;;;;;;
25;Lleida;4;Lleida;18;Garrigues;25101;Granadella, la;1;;521;175;312;361;160;2;5;354;359;15;119;132;11;5;43;3;4;16;1;0;2;1;1;0;;1;;0;;;0;
8;Barcelona;2;Catalunya Central;42;Moianès;08095;Granera;1;;75;30;40;54;21;0;2;52;54;4;17;20;0;0;8;0;0;3;0;0;0;0;0;0;;;;;;;;
25;Lleida;4;Lleida;33;Segrià;25102;Granja d'Escarp, la;1;;628;209;349;395;233;10;6;379;385;56;97;93;15;9;3;22;13;67;0;1;0;0;2;0;;0;;1;;;0;
8;Barcelona;1;Barcelona;41;Vallès Oriental;08096;Granollers;1;;11128;2878;5283;5912;5216;98;50;5764;5814;1532;1219;1264;369;318;339;313;184;139;31;18;12;10;9;7;;;;;;;;
8;Barcelona;1;Barcelona;41;Vallès Oriental;08096;Granollers;2;;8036;2204;3947;4534;3502;48;28;4458;4486;962;988;1046;287;249;289;233;160;166;19;27;4;13;9;6;;;;;;;;
8;Barcelona;1;Barcelona;41;Vallès Oriental;08096;Granollers;3;;11501;2929;5561;6316;5185;81;61;6174;6235;1677;1290;1206;457;342;347;453;188;138;27;18;3;15;10;3;;;;;;;;
8;Barcelona;1;Barcelona;41;Vallès Oriental;08096;Granollers;4;;13344;3459;6651;7419;5925;97;63;7259;7322;2056;1465;1279;540;491;397;469;298;163;37;17;10;15;13;9;;;;;;;;
25;Lleida;4;Lleida;32;Segarra;25103;Granyanella;1;;131;35;61;73;58;1;3;69;72;6;22;24;3;6;7;1;0;0;0;0;0;0;0;0;;0;;0;;;0;
25;Lleida;4;Lleida;18;Garrigues;25105;Granyena de les Garrigues;1;;112;56;84;91;21;5;2;84;86;8;28;33;4;2;7;1;1;0;0;0;0;0;0;0;;0;;0;;;0;
25;Lleida;4;Lleida;32;Segarra;25104;Granyena de Segarra;1;;130;42;72;79;51;0;0;79;79;10;15;29;4;4;9;0;3;2;0;1;1;0;0;0;;0;;0;;;1;
43;Tarragona;6;Camp de Tarragona;29;Priorat;43069;Gratallops;1;;192;68;111;139;53;10;0;129;129;15;52;31;4;6;10;5;5;1;0;0;0;0;0;;0;0;;;0;;;0
8;Barcelona;1;Barcelona;41;Vallès Oriental;08097;Gualba;1;;1118;354;651;725;393;7;2;716;718;92;183;257;28;38;73;13;9;16;1;4;2;0;0;0;;;;;;;;
17;Girona;3;Girona;10;Baix Empordà;17081;Gualta;1;;269;114;173;188;81;5;1;182;183;17;35;86;3;7;20;5;2;5;0;0;2;0;0;0;;0;0;;;0;;
8;Barcelona;2;Catalunya Central;14;Berguedà;08099;Guardiola de Berguedà;1;;762;194;403;467;295;10;2;455;457;75;117;128;13;14;69;11;3;12;2;4;2;0;3;2;;;;;;;;
43;Tarragona;6;Camp de Tarragona;29;Priorat;43070;Guiamets, els;1;;247;101;167;177;70;0;0;177;177;19;57;31;2;4;48;5;5;2;3;0;0;0;0;;1;0;;;0;;;0
17;Girona;5;Alt Pirineu i territori d'Aran;15;Cerdanya;17082;Guils de Cerdanya;1;;466;106;215;278;188;14;3;261;264;14;45;97;19;4;27;12;11;29;0;1;1;1;0;0;;0;0;;;0;;
25;Lleida;4;Lleida;38;Urgell;25109;Guimerà;1;;208;81;122;141;67;0;3;138;141;4;36;60;4;0;5;3;4;16;0;0;0;0;6;0;;0;;0;;;0;
