﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Població;Cens;Participació 13:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids
43;Tarragona;6;Camp de Tarragona;36;Tarragonès;43166;Vilallonga del Camp;2405;1628;392;769;850;778;14;9;827;836
17;Girona;3;Girona;31;Ripollès;17224;Vilallonga de Ter;398;292;97;154;176;116;25;1;150;151
17;Girona;3;Girona;2;Alt Empordà;17225;Vilamacolum;377;207;75;126;136;71;0;4;132;136
17;Girona;3;Girona;2;Alt Empordà;17226;Vilamalla;1161;878;260;412;456;422;3;8;445;453
17;Girona;3;Girona;2;Alt Empordà;17227;Vilamaniscle;212;148;51;81;95;53;0;0;95;95
25;Lleida;5;Alt Pirineu i territori d'Aran;39;Consell General d'Aran;25247;Vilamòs;178;147;30;45;72;75;1;3;68;71
17;Girona;3;Girona;2;Alt Empordà;17228;Vilanant;386;287;99;176;191;96;5;1;185;186
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43167;Vilanova d'Escornalbou;565;417;137;253;282;135;5;6;271;277
25;Lleida;4;Lleida;27;Pla d'Urgell;25248;Vilanova de Bellpuig;1183;874;284;537;625;249;9;15;601;616
25;Lleida;4;Lleida;23;Noguera;25249;Vilanova de l'Aguda;200;172;54;93;106;66;6;0;100;100
25;Lleida;4;Lleida;33;Segrià;25254;Vilanova de la Barca;1088;709;196;357;419;290;13;3;403;406
8;Barcelona;8;Penedès;6;Anoia;08302;Vilanova del Camí;12596;9419;1996;3810;4307;5112;102;45;4160;4205
8;Barcelona;1;Barcelona;41;Vallès Oriental;08902;Vilanova del Vallès;5503;4043;969;1947;2278;1765;40;26;2212;2238
25;Lleida;4;Lleida;23;Noguera;25250;Vilanova de Meià;415;324;105;171;209;115;6;2;201;203
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43168;Vilanova de Prades;107;82;27;41;53;29;3;1;49;50
8;Barcelona;2;Catalunya Central;24;Osona;08303;Vilanova de Sau;312;263;107;158;191;72;2;0;189;189
25;Lleida;4;Lleida;33;Segrià;25251;Vilanova de Segrià;985;714;195;394;437;277;3;14;420;434
8;Barcelona;8;Penedès;17;Garraf;08307;Vilanova i la Geltrú;67733;49558;11815;22939;26315;23243;364;222;25729;25951
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43169;Vilaplana;555;434;169;309;355;79;1;3;351;354
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43170;Vila-rodona;1276;899;250;512;574;325;14;7;553;560
17;Girona;3;Girona;2;Alt Empordà;17230;Vila-sacra;758;501;155;271;300;201;3;3;294;297
25;Lleida;4;Lleida;27;Pla d'Urgell;25252;Vila-sana;734;570;173;269;304;266;1;10;293;303
43;Tarragona;6;Camp de Tarragona;36;Tarragonès;43171;Vila-seca;22555;15025;3464;6553;7436;7589;132;65;7239;7304
8;Barcelona;1;Barcelona;21;Maresme;08214;Vilassar de Dalt;9072;7049;1902;3415;4260;2789;46;43;4171;4214
8;Barcelona;1;Barcelona;21;Maresme;08219;Vilassar de Mar;21035;15803;4103;8248;9803;6000;121;70;9612;9682
17;Girona;3;Girona;2;Alt Empordà;17222;Vilaür;158;108;57;81;92;16;4;2;86;88
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43172;Vilaverd;443;341;88;149;177;164;8;6;163;169
43;Tarragona;6;Camp de Tarragona;29;Priorat;43173;Vilella Alta, la;133;97;38;64;69;28;1;2;66;68
43;Tarragona;6;Camp de Tarragona;29;Priorat;43174;Vilella Baixa, la;204;147;48;95;118;29;1;0;117;117
17;Girona;3;Girona;34;Selva;17233;Vilobí d'Onyar;3333;2386;682;1335;1479;907;25;11;1443;1454
8;Barcelona;8;Penedès;3;Alt Penedès;08304;Vilobí del Penedès;1102;842;180;455;541;301;5;2;534;536
17;Girona;3;Girona;10;Baix Empordà;17232;Vilopriu;204;171;78;105;119;52;1;1;117;118
25;Lleida;4;Lleida;18;Garrigues;25253;Vilosell, el;173;154;44;101;118;36;2;2;114;116
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43176;Vimbodí i Poblet;890;735;249;397;472;263;12;2;458;460
25;Lleida;4;Lleida;18;Garrigues;25255;Vinaixa;450;383;134;235;265;118;7;2;256;258
43;Tarragona;7;Terres de l'Ebre;30;Ribera d'Ebre;43177;Vinebre;425;287;126;200;219;68;4;1;214;215
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43178;Vinyols i els Arcs;2124;1495;439;781;883;612;10;9;864;873
8;Barcelona;2;Catalunya Central;14;Berguedà;08308;Viver i Serrateix;172;139;49;83;104;35;1;3;100;103
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43052;Xerta;1154;917;267;436;521;396;18;2;501;503
8;Barcelona;98;Residents Absents;;;08998;Residents Absents;;197011; ; ;7996;189015;460;41;7495;7536
17;Girona;98;Residents Absents;;;17998;Residents Absents;;21379; ; ;1029;20350;2;3;1024;1027
25;Lleida;98;Residents Absents;;;25998;Residents Absents;;17363; ; ;725;16638;9;3;713;716
43;Tarragona;98;Residents Absents;;;43998;Residents Absents;;19411; ; ;966;18445;7;8;951;959
