﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Sigles Candidatura;Nom Candidatura;Vots
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);32
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;VOX;Vox;20
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;Cs;Ciutadans-Partido de la Ciudadanía;14
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;ECP-PEC;En Comú Podem-Podem en Comú;12
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;PDeCAT;Partit Demòcrata Europeu Català;8
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;PP;Partit Popular;6
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;PNC;Partit Nacionalista de Catalunya;2
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;1
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;MPIC;Moviment Primàries per la Independència de Catalunya;1
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;UEP;Unión Europea de Pensionistas;1
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;FNC;Front Nacional de Catalunya;1
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;PUM+J;Per Un Món Més Just;0
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;PCTC;Partit Comunista dels Treballadors de Catalunya;0
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;IZQP;Izquierda en Positivo;0
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;ALIANZA C V;Alianza por el Comercio y la Vivienda;0
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;PDeCAT;Partit Demòcrata Europeu Català;289
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;ERC;Esquerra Republicana de Catalunya;193
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;JxCat;Junts per Catalunya;138
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);78
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;PP;Partit Popular;75
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;VOX;Vox;31
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;26
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;ECP-PEC;En Comú Podem-Podem en Comú;18
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;Cs;Ciutadans-Partido de la Ciudadanía;13
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;MPIC;Moviment Primàries per la Independència de Catalunya;2
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;EB;Escons en Blanc;2
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;1
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;FNC;Front Nacional de Catalunya;1
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;PNC;Partit Nacionalista de Catalunya;1
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;SCAT;Suport Civil Català;1
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;PUM+J;Per Un Món Més Just;1
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;IZQP;Izquierda en Positivo;0
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;PCTC;Partit Comunista dels Treballadors de Catalunya;0
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;JxCat;Junts per Catalunya;112
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;ERC;Esquerra Republicana de Catalunya;108
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);34
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;25
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;VOX;Vox;24
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;PDeCAT;Partit Demòcrata Europeu Català;20
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;ECP-PEC;En Comú Podem-Podem en Comú;13
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;Cs;Ciutadans-Partido de la Ciudadanía;5
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;IZQP;Izquierda en Positivo;2
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;PP;Partit Popular;2
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;FNC;Front Nacional de Catalunya;1
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;PCTC;Partit Comunista dels Treballadors de Catalunya;1
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;EB;Escons en Blanc;1
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;PNC;Partit Nacionalista de Catalunya;0
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;PUM+J;Per Un Món Més Just;0
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;SCAT;Suport Civil Català;0
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;MPIC;Moviment Primàries per la Independència de Catalunya;0
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;JxCat;Junts per Catalunya;52
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;ERC;Esquerra Republicana de Catalunya;37
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);31
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;18
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;Cs;Ciutadans-Partido de la Ciudadanía;5
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;PDeCAT;Partit Demòcrata Europeu Català;5
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;ECP-PEC;En Comú Podem-Podem en Comú;4
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;PP;Partit Popular;4
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;EB;Escons en Blanc;2
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;VOX;Vox;2
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;PUM+J;Per Un Món Més Just;1
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;MPIC;Moviment Primàries per la Independència de Catalunya;1
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;FNC;Front Nacional de Catalunya;1
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;PNC;Partit Nacionalista de Catalunya;0
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;SCAT;Suport Civil Català;0
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;IZQP;Izquierda en Positivo;0
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;PCTC;Partit Comunista dels Treballadors de Catalunya;0
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';ERC;Esquerra Republicana de Catalunya;62
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';JxCat;Junts per Catalunya;43
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);30
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';VOX;Vox;16
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;11
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';Cs;Ciutadans-Partido de la Ciudadanía;7
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';ECP-PEC;En Comú Podem-Podem en Comú;6
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';PP;Partit Popular;6
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';PDeCAT;Partit Demòcrata Europeu Català;5
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;2
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';IZQP;Izquierda en Positivo;1
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';PCTC;Partit Comunista dels Treballadors de Catalunya;0
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';PNC;Partit Nacionalista de Catalunya;0
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';FNC;Front Nacional de Catalunya;0
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';SCAT;Suport Civil Català;0
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';EB;Escons en Blanc;0
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';MPIC;Moviment Primàries per la Independència de Catalunya;0
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';PUM+J;Per Un Món Més Just;0
17;Girona;3;Girona;2;Alt Empordà;17003;Albanyà;JxCat;Junts per Catalunya;36
17;Girona;3;Girona;2;Alt Empordà;17003;Albanyà;ERC;Esquerra Republicana de Catalunya;17
17;Girona;3;Girona;2;Alt Empordà;17003;Albanyà;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;16
17;Girona;3;Girona;2;Alt Empordà;17003;Albanyà;ECP-PEC;En Comú Podem-Podem en Comú;4
17;Girona;3;Girona;2;Alt Empordà;17003;Albanyà;Cs;Ciutadans-Partido de la Ciudadanía;2
17;Girona;3;Girona;2;Alt Empordà;17003;Albanyà;MPIC;Moviment Primàries per la Independència de Catalunya;1
17;Girona;3;Girona;2;Alt Empordà;17003;Albanyà;PDeCAT;Partit Demòcrata Europeu Català;1
